"TITLE_ID","PERSON_ID","PERSON_ROLE"
33381623,2408275,"cinematographer"
33381656,1523938,"actor"
33381876,16525639,"director"
3338188,3837249,"actor"
33382053,10619150,"actor"
33382134,3123429,"actress"
33382312,1984521,"actor"
33382312,6549259,"producer"
33382323,5378650,"director"
3338382,6093236,"writer"
33384288,16527534,"actor"
33384302,6745703,"cinematographer"
33384555,16527920,"actress"
33384703,838520,"actor"
3338596,335567,"producer"
33395045,16529768,"production_designer"
33395821,12138178,"producer"
33395981,11233626,"actor"
33396111,10955893,"director"
33396191,16530466,"actor"
33396507,16530665,"editor"
33396597,4808363,"actress"
33396909,14431065,"actor"
33396910,16306118,"actress"
33397174,43396,"actress"
33397404,5015921,"production_designer"
33397410,915365,"actor"
33397545,1085795,"producer"
33397608,1200066,"producer"
33397731,16240677,"actor"
33398110,311677,"actress"
33398143,16533251,"actor"
33400212,18393638,"actress"
33400327,261346,"cinematographer"
33400719,3425513,"director"
33401148,205749,"actor"
33402822,117253,"cinematographer"
3340430,6095121,"director"
3340446,1691,"actor"
33406381,12482377,"actress"
3341414,3017615,"actor"
3341438,1234947,"actor"
3341448,2748001,"editor"
3341598,468729,"actor"
3341598,3021371,"cinematographer"
33416208,14560034,"actor"
3341952,6096521,"cinematographer"
3342104,6096853,"actor"
3342238,6097091,"writer"
3342262,6602702,"producer"
33423100,11323158,"writer"
3342390,4762824,"composer"
33424630,16538440,"actor"
33424630,16538441,"composer"
3342830,423094,"cinematographer"
3342852,6098014,"actor"
33428591,16649015,"composer"
3342996,1465353,"cinematographer"
3343016,13409593,"actor"
33430221,10519801,"cinematographer"
3343598,433887,"actress"
3343784,3687469,"composer"
33440439,15818700,"editor"
33440451,15073121,"actor"
3344158,152035,"actress"
3344394,6099053,"actor"
3344446,1417272,"actor"
3344446,72406,"composer"
3344652,804695,"composer"
33448130,4467,"actor"
33448178,17220616,"writer"
33448326,16540682,"actor"
33452941,16545361,"self"
33452974,1260847,"production_designer"
33454539,1045256,"producer"
3345466,4606766,"actress"
3345968,1390901,"actor"
33464369,179132,"self"
3346462,1394102,"actor"
33469920,139230,"composer"
3347192,5268199,"actor"
33474172,4707560,"editor"
33475405,11868343,"editor"
33475890,5254296,"producer"
33475940,16544700,"editor"
33476760,179132,"writer"
33477645,13589017,"actor"
33477924,5873855,"editor"
33478491,6930387,"director"
33478588,1326086,"writer"
33479057,179132,"self"
3347944,1855710,"actress"
33479840,1231282,"actor"
33480564,3426833,"production_designer"
33481227,16787267,"actor"
33481359,17480647,"composer"
33481466,1589571,"composer"
33481735,15915105,"production_designer"
33482147,16552084,"actor"
33483632,15739385,"composer"
33483898,11231197,"writer"
33484317,6751532,"writer"
33484643,14967479,"producer"
3348504,1775553,"actor"
33485059,6868175,"producer"
3348716,593942,"editor"
33487489,17876619,"actor"
33489156,4864728,"producer"
33492922,16577606,"actor"
33495496,16290744,"actor"
3349698,2049813,"producer"
33497719,16554564,"director"
33498812,11132427,"director"
33499146,3005020,"production_designer"
33499295,16882992,"self"
33499295,16561657,"producer"
33499451,14104348,"actor"
33499787,13667154,"producer"
33499985,2649417,"actor"
33500433,1517871,"actor"
